Marca temporal,Tipo de registro,Procedimiento o proceso en el que se le atendió,Servicios referidos (Detalle),"Detalles de la queja, sugerencia o felicitación",Departamento que lo atendió,Instancia,,,,,
5/24/2024 16:07:59,Felicitación,Mantenimiento de la Infraestructura Física,Laboratorios,Felicitacion,,,,,,,
5/27/2024 12:00:32,Felicitación,Préstamo de Equipo Informático,no,Felicitacion. Muy limpio,,,,,,,
5/30/2024 15:07:05,Felicitación,Préstamo de Equipo Informático,Sala de uso general,Use una computadora con internet,,,,,,,
6/3/2024 15:12:54,Sugerencia,Préstamo de Equipo Informático,Préstamo de computadoras,Atención buena,,,,,,,
6/3/2024 15:31:35,Felicitación,Préstamo de Equipo Informático,Uso de laboratorio para el Club de Algoritmia,Ninguna queja en absoluto. Todo fue fluido.,,,,,,,
6/4/2024 13:08:35,Queja,Préstamo de Equipo Informático,Empresa de equipo informativo,Ya es cansado hacer todo esto,,,,,,,
6/4/2024 16:01:30,Sugerencia,Gestión del Diseño de Programas de Estudio,..,..,,,,,,,
6/10/2024 10:28:48,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Tarea,Ninguna,,,,,,,
6/11/2024 13:37:52,Queja,Prácticas Académicas de Laboratorios y Talleres,Tgj,Hb,,,,,,,
6/12/2024 13:18:39,Felicitación,Auditoría Interna,Equipo ,Felicitación ,,,,,,,
6/12/2024 14:25:07,Felicitación,Préstamo de Equipo Informático,Prestamo,Buen servicio ,,,,,,,
6/13/2024 17:24:11,Sugerencia,Préstamo de Equipo Informático,Equipo de cómputo ,Mejor gestión en los cables de internet y su repartición ,,,,,,,
6/13/2024 17:24:20,Sugerencia,Préstamo de Equipo Informático,Equipo de conmputo ,Mejor gestión de internet ya que algunos equipos no cuentan con el mismo,,,,,,,
6/14/2024 17:04:25,Felicitación,Prácticas Académicas de Laboratorios y Talleres,Uso de laboratorio ,Buena atención ,,,,,,,
6/14/2024 17:48:07,Sugerencia,Actualización y Capacitación Docentes,K,L,,,,,,,
